Name	HAF1608	HELF977	IMR90	Beas-2B	Mammary_Epithelial	MCF10A	MCF7	MDA-DB-231	ZR75-1	HeLa	Hep3B	HepG2	Huh7	MIHA	Fadu	A549	H1264	H460	H520	RVH6849	HK1	NP460	LNCaP	BicR	DKO1	DKS8	DLD1	DLD2	HCT116	SW480	143B	U2OS	HEK293	A2058	A375	SH-SY5Y	LCLB	HDMYZ	C8166	Jurkat	SUP-T1	THP-1
hsa-miR-510-5p	0	2.031523832	0	0	0	12.26378728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.835924738	0	0	0	0	0	0	0
hsa-miR-3670-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.358631487	0	0
hsa-miR-548ao-5p	0	0	0	0	1.458884068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.982654745	0	0	0	0	0	6.027240686	0	0	0	0
hsa-miR-432-5p	285.4584491	3331.699085	1538.659687	199.3047206	3.897176476	18.00428345	1.248125615	0	0	1.697956252	106.8841622	1.449383324	0	5.929915695	0	16.57760768	94.23964816	247.2631818	11.83037969	137.0577284	0	24.89190522	0	0	0	0	0	0	0	0	4.924070828	0	0	0	3.886267234	0	0	0	5.539014729	2.486928862	0	0
hsa-miR-4694-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.468957968	0	0	0	2.249947226	0	0	0	0	0	0	1.30659744	0	0	0	0	0	0	0	0	0	0	1.842429319	0	0	0	0
hsa-miR-6826-3p	0	0	0	0	0	0	1.000026685	0	0	1.07330479	0	0	0	0	0	0	1.400377773	0	0	1.661696152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.145916915	0	0	0
hsa-miR-3153	0	0	0	0	0	0	0	0	0	0	0	1.002765706	0	0	0	1.859241497	87.8153368	5.932869856	4.536612191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.755964238	5.461780978	0	0	0	0	2.742681651	0	0
hsa-miR-130a-3p	1788.067093	1647.565828	630.1834892	2711.38436	2566.588044	4195.954794	1.029940809	670.7907963	0	1767.407133	3.894564616	420.9055954	9.107472341	2.280736806	1103.584865	1540.787636	4081.269066	965.7854019	2865.868827	261.8326412	5482.682096	19278.44422	0	0	0	0	0	7.095648554	15.70189243	9.598587088	797.6994741	20839.18836	1.553541008	269.8492752	409.5285391	1609.217897	531.9895854	2492.523273	4.546620876	26.06081408	467.7574117	0
hsa-miR-5010-5p	0	57.55984192	0	0	0	0	1.489880483	0	1.666683429	1.994759911	50.1966106	1.691055684	1.54363938	0	0	2.455625999	13.61077213	5.607807085	2.793447271	4.706852778	0	0	0	0	0	1.157184564	1.209931932	0	0	0	0	0	1.731733622	19.85098117	3.571164485	0	1.619615137	1.683098352	1.145916915	13.42907491	1.009652036	1.216655461
hsa-miR-197-5p	9.298320816	18.9608891	0	10.26862729	2.023067434	0	1.62734641	1.591976801	2.316180829	3.15132599	0	5.721802679	1.852367256	0	4.494772225	2.598199221	28.84996563	6.400352098	2.207520618	4.962362437	0	4.709279366	0	0	1.209093316	1.425475843	1.361928116	0	0	0	0	0	6.600172666	11.16617691	14.49472644	1.782488026	0	6.856546319	1.701634618	20.91970972	3.523721314	0
hsa-miR-196a-1-36-5p	358.9151835	2.708698443	0	921.8426772	229.6719914	85.41162489	57.84895588	29.22414556	19.01947391	2113.001524	7.789129232	2.275546413	6226.732531	36.94793625	517.1353728	78.04069096	596.9991729	445.1630927	1120.833722	2103.476904	66.18055005	0	48.69796374	28.52034024	414.9870235	430.7140382	517.9313438	1766.028085	197.7011002	1067.842814	54.16477911	2436.187018	914.6044682	255.1678204	993.0988297	1.4136974	67.75389991	2614.888423	1.990593944	40.63927876	6.974645702	33.04660534
hsa-miR-4423-3p	7.438656653	1.354349222	0	0	1.745537051	3.826997449	0	0	0	1.140029342	0	0	0	0	0	0	0	0	0	0	0	24.21915102	0	0	0	0	0	0	0	0	0	0	1.09808714	0	0	0	0	4.254908253	1.307753186	0	0	1.418082414
hsa-miR-9-3-27-5p	38.12311535	60.26854036	4.599879483	45.97544491	4.118098534	1244.209057	151.1979934	193.3114687	148.0441354	19.94252952	76.59310411	2.154320894	1664.197615	18.70204181	241.0617314	316.027359	460.4131377	673.83358	1425.637592	4805.149736	0	15.47334649	1317.909928	1141.482055	164.6518805	63.8783212	196.8577376	37.05505356	698.7342134	698.2972107	4.924070828	1122.182586	1053.068151	207.608178	199.5650742	2479.932565	1917.624323	2728.942043	4204.377052	112.2374316	4168.259605	4601.220542
